Year of Birth,Gender,Ethnicity,Child's First Name,Count
2019,female,asian and pacific islander,amelia,60
2011,female,black non hispanic,nevaeh,60
2017,female,hispanic,melanie,60
2018,female,hispanic,melanie,60
2019,female,hispanic,elizabeth,60
2012,female,hispanic,daniela,60
2012,female,hispanic,jennifer,60
2016,female,hispanic,maria,60
2011,female,hispanic,chloe,60
2011,female,hispanic,katherine,60
2014,female,hispanic,amelia,60
2014,female,hispanic,emely,60
2013,female,white non hispanic,rivky,60
2015,female,hispanic,daniela,60
2019,female,white non hispanic,eva,60
2019,female,white non hispanic,layla,60
2019,female,white non hispanic,malka,60
2017,female,white non hispanic,valentina,60
2019,male,black non hispanic,zion,60
2017,male,asian and pacific islander,mohammad,60
2015,male,asian and pacific islander,austin,60
2016,male,asian and pacific islander,owen,60
2012,male,black non hispanic,jordan,60
2012,male,black non hispanic,matthew,60
2013,male,black non hispanic,daniel,60
2013,male,black non hispanic,kaiden,60
2012,male,white non hispanic,jeremy,60
2019,male,hispanic,kayden,60
2017,male,hispanic,erick,60
2018,male,hispanic,andrew,60
2012,male,asian and pacific islander,hudson,60
2012,male,asian and pacific islander,jonah,60
2017,male,white non hispanic,zachary,60
2019,female,black non hispanic,madison,59
2016,female,asian and pacific islander,charlotte,59
2012,female,black non hispanic,serenity,59
2015,female,asian and pacific islander,mia,59
2013,female,hispanic,bella,59
2012,female,hispanic,adriana,59
2012,female,hispanic,angelina,59
2011,female,hispanic,jennifer,59
2011,female,hispanic,maria,59
2013,female,white non hispanic,penelope,59
2015,female,white non hispanic,baila,59
2015,female,white non hispanic,sienna,59
2011,female,white non hispanic,malky,59
2019,female,white non hispanic,evelyn,59
2014,female,white non hispanic,madeline,59
2014,female,white non hispanic,yitty,59
2018,female,white non hispanic,lucy,59
2019,male,black non hispanic,jeremiah,59
2013,male,asian and pacific islander,alexander,59
2012,male,black non hispanic,aaron,59
2014,male,black non hispanic,ayden,59
2011,male,black non hispanic,matthew,59
2017,male,hispanic,brandon,59
2018,male,hispanic,kevin,59
2012,male,asian and pacific islander,asher,59
2012,male,asian and pacific islander,nathaniel,59
2018,female,asian and pacific islander,amelia,58
2012,female,black non hispanic,olivia,58
2014,female,asian and pacific islander,isabella,58
2017,female,hispanic,sarah,58
2018,female,hispanic,madison,58
2018,female,hispanic,penelope,58
2016,female,hispanic,gabriella,58
2012,female,hispanic,kayla,58
2012,female,hispanic,nicole,58
2014,female,hispanic,penelope,58
2013,female,white non hispanic,shaindy,58
2013,female,white non hispanic,violet,58
2015,female,white non hispanic,madeline,58
2015,female,white non hispanic,ruby,58
2015,female,white non hispanic,sophie,58
2019,female,white non hispanic,aria,58
2019,female,white non hispanic,eliana,58
2019,female,white non hispanic,madison,58
2019,female,white non hispanic,stella,58
2016,female,white non hispanic,layla,58
2016,female,white non hispanic,yitty,58
2014,female,white non hispanic,lucy,58
2017,female,white non hispanic,eva,58
2017,female,white non hispanic,madison,58
2018,female,white non hispanic,aria,58
2018,female,white non hispanic,devorah,58
2019,male,asian and pacific islander,leo,58
2019,male,asian and pacific islander,william,58
2017,male,asian and pacific islander,evan,58
2017,male,asian and pacific islander,jasper,58
2018,male,asian and pacific islander,aaron,58
2015,male,asian and pacific islander,daniel,58
2016,male,black non hispanic,cameron,58
2016,male,asian and pacific islander,mohammad,58
2016,male,asian and pacific islander,oliver,58
2016,male,black non hispanic,tyler,58
2013,male,black non hispanic,king,58
2015,male,black non hispanic,david,58
2012,male,black non hispanic,anthony,58
2012,male,black non hispanic,dylan,58
2012,male,black non hispanic,jacob,58
2012,male,white non hispanic,andy,58
2012,male,white non hispanic,mohammad,58
2011,male,black non hispanic,tristan,58
2011,male,black non hispanic,xavier,58
2019,male,hispanic,leonardo,58
2016,male,hispanic,alan,58
2017,male,hispanic,joel,58
2017,male,hispanic,juan,58
2017,male,hispanic,matias,58
2017,male,hispanic,william,58
2018,male,hispanic,leonardo,58
2016,female,black non hispanic,aaliyah,57
2019,female,asian and pacific islander,charlotte,57
2013,female,black non hispanic,taylor,57
2016,female,asian and pacific islander,sarah,57
2017,female,asian and pacific islander,charlotte,57
2012,female,black non hispanic,nevaeh,57
2015,female,asian and pacific islander,angela,57
2013,female,hispanic,alexa,57
2016,female,hispanic,elizabeth,57
2016,female,hispanic,layla,57
2016,female,hispanic,luna,57
2012,female,hispanic,chloe,57
2012,female,hispanic,jade,57
2011,female,hispanic,khloe,57
2014,female,hispanic,maria,57
2014,female,hispanic,valerie,57
2013,female,white non hispanic,eliana,57
2013,female,white non hispanic,eva,57
2013,female,white non hispanic,gianna,57
2013,female,white non hispanic,mila,57
2013,female,white non hispanic,sadie,57
2015,female,white non hispanic,raizy,57
2011,female,white non hispanic,madison,57
2012,female,asian and pacific islander,batsheva,57
2012,female,asian and pacific islander,malka,57
2019,female,white non hispanic,ruby,57
2016,female,white non hispanic,avery,57
2016,female,white non hispanic,evelyn,57
2016,female,white non hispanic,violet,57
2014,female,white non hispanic,samantha,57
2018,female,white non hispanic,madison,57
2018,female,white non hispanic,shaindy,57
2018,male,black non hispanic,messiah,57
2019,male,asian and pacific islander,ayaan,57
2017,male,asian and pacific islander,logan,57
2017,male,asian and pacific islander,matthew,57
2015,male,asian and pacific islander,aaron,57
2015,male,asian and pacific islander,noah,57
2017,male,black non hispanic,chase,57
2017,male,black non hispanic,kyrie,57
2016,male,asian and pacific islander,aaron,57
2016,male,black non hispanic,isaiah,57
2016,male,black non hispanic,jacob,57
2016,male,asian and pacific islander,noah,57
2013,male,black non hispanic,caleb,57
2015,male,black non hispanic,aaron,57
2011,male,black non hispanic,amari,57
2011,male,black non hispanic,brandon,57
2019,male,hispanic,nicolas,57
2016,male,hispanic,kayden,57
2018,male,hispanic,diego,57
2018,female,black non hispanic,skylar,56
2015,female,black non hispanic,aaliyah,56
2015,female,black non hispanic,chloe,56
2015,female,black non hispanic,taylor,56
2013,female,asian and pacific islander,angela,56
2013,female,black non hispanic,kayla,56
2016,female,asian and pacific islander,hannah,56
2016,female,asian and pacific islander,isabella,56
2017,female,hispanic,kaylee,56
2018,female,hispanic,amaya,56
2018,female,hispanic,amy,56
2018,female,hispanic,savannah,56
2013,female,hispanic,aaliyah,56
2016,female,hispanic,aaliyah,56
2015,female,hispanic,delilah,56
2015,female,hispanic,emely,56
2013,female,white non hispanic,evelyn,56
2013,female,white non hispanic,madeline,56
2015,female,white non hispanic,harper,56
2012,female,asian and pacific islander,alexa,56
2019,female,white non hispanic,violet,56
2017,female,white non hispanic,alice,56
2017,female,white non hispanic,ruby,56
2017,female,white non hispanic,shaindy,56
2014,female,white non hispanic,alice,56
2014,female,white non hispanic,sophie,56
2018,female,white non hispanic,harper,56
2018,male,black non hispanic,michael,56
2018,male,black non hispanic,zion,56
2019,male,black non hispanic,amari,56
2019,male,asian and pacific islander,evan,56
2017,male,asian and pacific islander,kevin,56
2014,male,asian and pacific islander,justin,56
2015,male,asian and pacific islander,james,56
2015,male,asian and pacific islander,oliver,56
2016,male,asian and pacific islander,henry,56
2016,male,black non hispanic,malachi,56
2012,male,black non hispanic,chase,56
2012,male,black non hispanic,nathaniel,56
2013,male,black non hispanic,matthew,56
2015,male,black non hispanic,matthew,56
2015,male,black non hispanic,messiah,56
2014,male,black non hispanic,isaiah,56
2017,male,hispanic,andrew,56
2017,male,hispanic,diego,56
2017,male,hispanic,isaiah,56
2017,male,hispanic,nicolas,56
2016,male,hispanic,emmanuel,56
2011,female,black non hispanic,gabrielle,55
2013,female,asian and pacific islander,mia,55
2012,female,black non hispanic,aaliyah,55
2019,female,hispanic,melanie,55
2018,female,hispanic,elizabeth,55
2013,female,hispanic,angelina,55
2013,female,hispanic,layla,55
2012,female,hispanic,maria,55
2016,female,hispanic,gianna,55
2016,female,hispanic,zoey,55
2011,female,hispanic,alexa,55
2014,female,hispanic,aaliyah,55
2015,female,hispanic,savannah,55
2013,female,white non hispanic,alice,55
2013,female,white non hispanic,avery,55
2015,female,white non hispanic,evelyn,55
2015,female,white non hispanic,rivky,55
2012,female,asian and pacific islander,madeline,55
2016,female,white non hispanic,baila,55
2016,female,white non hispanic,raizy,55
2016,female,white non hispanic,riley,55
2019,female,white non hispanic,rose,55
2014,female,white non hispanic,layla,55
2014,female,white non hispanic,rose,55
2014,female,white non hispanic,shaindy,55
2018,male,black non hispanic,kyrie,55
2018,male,asian and pacific islander,mohammad,55
2019,male,asian and pacific islander,nathan,55
2017,male,asian and pacific islander,nathan,55
2013,male,asian and pacific islander,mason,55
2014,male,asian and pacific islander,ayaan,55
2014,male,asian and pacific islander,oliver,55
2016,male,asian and pacific islander,benjamin,55
2012,male,black non hispanic,jason,55
2012,male,black non hispanic,malachi,55
2013,male,black non hispanic,christopher,55
2015,male,black non hispanic,ayden,55
2015,male,black non hispanic,kayden,55
2014,male,black non hispanic,caleb,55
2014,male,black non hispanic,christopher,55
2014,male,black non hispanic,daniel,55
2019,male,hispanic,jason,55
2019,male,hispanic,nathan,55
2019,male,hispanic,santiago,55
2017,male,hispanic,xavier,55
2016,female,black non hispanic,savannah,54
2011,female,asian and pacific islander,tiffany,54
2013,female,black non hispanic,serenity,54
2016,female,asian and pacific islander,angela,54
2016,female,asian and pacific islander,grace,54
2019,female,hispanic,allison,54
2019,female,hispanic,madison,54
2017,female,hispanic,allison,54
2017,female,hispanic,charlotte,54
2017,female,hispanic,gabriella,54
2013,female,hispanic,chloe,54
2013,female,hispanic,evelyn,54
2012,female,hispanic,serenity,54
2011,female,hispanic,ava,54
2015,female,hispanic,gabriela,54
2011,female,white non hispanic,alexa,54
2011,female,white non hispanic,rebecca,54
2013,female,white non hispanic,samantha,54
2015,female,white non hispanic,maria,54
2015,female,white non hispanic,rose,54
2015,female,white non hispanic,talia,54
2012,female,asian and pacific islander,alice,54
2012,female,asian and pacific islander,lucy,54
2012,female,asian and pacific islander,penelope,54
2016,female,white non hispanic,toby,54
2016,female,white non hispanic,valentina,54
2017,female,white non hispanic,eliana,54
2019,female,white non hispanic,gabriella,54
2019,female,white non hispanic,josephine,54
2019,female,white non hispanic,lucy,54
2014,female,white non hispanic,emilia,54
2019,male,black non hispanic,messiah,54
2013,male,asian and pacific islander,owen,54
2017,male,black non hispanic,christian,54
2017,male,black non hispanic,zion,54
2016,male,black non hispanic,zion,54
2016,male,asian and pacific islander,mason,54
2016,male,asian and pacific islander,nathan,54
2012,male,black non hispanic,cameron,54
2012,male,black non hispanic,tristan,54
2013,male,black non hispanic,chase,54
2013,male,black non hispanic,ryan,54
2013,male,black non hispanic,tristan,54
2015,male,black non hispanic,cameron,54
2012,male,white non hispanic,alex,54
2012,male,white non hispanic,owen,54
2019,male,hispanic,justin,54
2018,female,black non hispanic,amelia,53
2014,female,black non hispanic,savannah,53
2015,female,black non hispanic,savannah,53
2019,female,asian and pacific islander,emily,53
2011,female,black non hispanic,taylor,53
2016,female,asian and pacific islander,ava,53
2012,female,black non hispanic,makayla,53
2019,female,hispanic,gianna,53
2017,female,hispanic,arianna,53
2017,female,hispanic,bella,53
2018,female,hispanic,aaliyah,53
2018,female,hispanic,grace,53
2018,female,hispanic,kylie,53
2012,female,hispanic,valerie,53
2011,female,hispanic,sarah,53
2011,female,hispanic,valerie,53
2015,female,hispanic,bella,53
2013,female,white non hispanic,alexa,53
2013,female,white non hispanic,baila,53
2013,female,white non hispanic,devorah,53
2013,female,white non hispanic,nora,53
2015,female,white non hispanic,nora,53
2015,female,white non hispanic,scarlett,53
2016,female,white non hispanic,eleanor,53
2016,female,white non hispanic,naomi,53
2019,female,white non hispanic,isla,53
2019,female,white non hispanic,raizy,53
2019,female,white non hispanic,scarlett,53
2019,female,white non hispanic,sienna,53
2019,male,black non hispanic,joshua,53
2019,male,black non hispanic,kayden,53
2019,male,black non hispanic,kyrie,53
2019,male,black non hispanic,legend,53
2019,male,asian and pacific islander,alexander,53
2011,male,asian and pacific islander,dylan,53
2017,male,asian and pacific islander,austin,53
2017,male,asian and pacific islander,jason,53
2013,male,asian and pacific islander,austin,53
2014,male,asian and pacific islander,kyle,53
2016,male,asian and pacific islander,alexander,53
2013,male,black non hispanic,nathan,53
2013,male,black non hispanic,xavier,53
2013,male,black non hispanic,zion,53
2014,male,black non hispanic,dylan,53
2012,male,white non hispanic,noah,53
2011,male,black non hispanic,aaron,53
2011,male,black non hispanic,jonathan,53
2011,male,black non hispanic,jordan,53
2012,female,white non hispanic,angela,52
2012,female,white non hispanic,ella,52
2018,female,asian and pacific islander,emily,52
2011,female,asian and pacific islander,ashley,52
2014,female,black non hispanic,olivia,52
2015,female,black non hispanic,kylie,52
2011,female,black non hispanic,jada,52
2011,female,black non hispanic,olivia,52
2011,female,black non hispanic,serenity,52
2019,female,hispanic,bella,52
2019,female,hispanic,elena,52
2017,female,hispanic,maya,52
2017,female,hispanic,penelope,52
2018,female,hispanic,charlotte,52
2013,female,hispanic,daniela,52
2013,female,hispanic,eliana,52
2016,female,hispanic,amy,52
2016,female,hispanic,daniela,52
2014,female,hispanic,kylie,52
2011,female,hispanic,layla,52
2015,female,hispanic,nicole,52
2015,female,hispanic,penelope,52
2015,female,hispanic,valerie,52
2011,female,white non hispanic,avery,52
2011,female,white non hispanic,caroline,52
2012,female,asian and pacific islander,evelyn,52
2012,female,asian and pacific islander,raizy,52
2012,female,asian and pacific islander,toby,52
2015,female,white non hispanic,avery,52
2017,female,white non hispanic,aria,52
2017,female,white non hispanic,avery,52
2017,female,white non hispanic,claire,52
2017,female,white non hispanic,scarlett,52
2017,female,white non hispanic,yitty,52
2018,female,white non hispanic,eva,52
2018,female,white non hispanic,gabriella,52
2014,female,white non hispanic,rivky,52
2018,male,black non hispanic,kayden,52
2018,male,black non hispanic,king,52
2018,male,asian and pacific islander,owen,52
2018,male,asian and pacific islander,william,52
2019,male,black non hispanic,kairo,52
2019,male,asian and pacific islander,jason,52
2011,male,asian and pacific islander,alex,52
2017,male,asian and pacific islander,noah,52
2017,male,black non hispanic,jace,52
2013,male,asian and pacific islander,noah,52
2014,male,asian and pacific islander,james,52
2016,male,black non hispanic,daniel,52
2012,male,black non hispanic,joseph,52
2013,male,black non hispanic,kayden,52
2013,male,black non hispanic,logan,52
2014,male,black non hispanic,matthew,52
2014,male,black non hispanic,tristan,52
2012,male,white non hispanic,jonathan,52
2019,male,hispanic,josue,52
2016,female,black non hispanic,chloe,51
2012,female,white non hispanic,grace,51
2018,female,asian and pacific islander,evelyn,51
2013,female,asian and pacific islander,grace,51
2015,female,black non hispanic,london,51
2013,female,black non hispanic,brielle,51
2011,female,black non hispanic,abigail,51
2011,female,black non hispanic,fatoumata,51
2017,female,hispanic,gianna,51
2018,female,hispanic,gianna,51
2018,female,hispanic,sarah,51
2013,female,hispanic,stephanie,51
2016,female,hispanic,nicole,51
2012,female,hispanic,melissa,51
2011,female,hispanic,diana,51
2011,female,hispanic,jayleen,51
2011,female,hispanic,michelle,51
2015,female,hispanic,adriana,51
2011,female,white non hispanic,raizy,51
2013,female,white non hispanic,fiona,51
2013,female,white non hispanic,lucy,51
2013,female,white non hispanic,maria,51
2013,female,white non hispanic,toby,51
2015,female,white non hispanic,layla,51
2015,female,white non hispanic,mila,51
2018,female,white non hispanic,naomi,51
2018,female,white non hispanic,scarlett,51
2019,female,white non hispanic,dina,51
2019,female,white non hispanic,riley,51
2018,male,asian and pacific islander,evan,51
2019,male,black non hispanic,michael,51
2019,male,asian and pacific islander,oliver,51
2011,male,asian and pacific islander,aaron,51
2011,male,asian and pacific islander,evan,51
2015,male,asian and pacific islander,nathan,51
2014,male,asian and pacific islander,alexander,51
2016,male,asian and pacific islander,leo,51
2016,male,asian and pacific islander,vincent,51
2015,male,black non hispanic,gabriel,51
2013,male,black non hispanic,david,51
2019,male,hispanic,emmanuel,51
2019,male,hispanic,matias,51
2019,female,black non hispanic,skylar,50
2012,female,white non hispanic,hailey,50
2018,female,asian and pacific islander,grace,50
2018,female,asian and pacific islander,isabella,50
2015,female,asian and pacific islander,charlotte,50
2015,female,black non hispanic,riley,50
2019,female,hispanic,amaya,50
2019,female,hispanic,amy,50
2017,female,hispanic,emely,50
2017,female,hispanic,mila,50
2018,female,hispanic,daniela,50
2013,female,hispanic,valerie,50
2014,female,hispanic,daniela,50
2014,female,hispanic,layla,50
2012,female,hispanic,khloe,50
2011,female,hispanic,emely,50
2011,female,hispanic,jade,50
2011,female,hispanic,melissa,50
2011,female,hispanic,natalia,50
2011,female,hispanic,stephanie,50
2015,female,hispanic,layla,50
2011,female,white non hispanic,alice,50
2011,female,white non hispanic,angelina,50
2012,female,asian and pacific islander,lila,50
2012,female,asian and pacific islander,rivky,50
2015,female,white non hispanic,katherine,50
2015,female,white non hispanic,samantha,50
2015,female,white non hispanic,toby,50
2015,female,white non hispanic,violet,50
2018,female,white non hispanic,talia,50
2018,female,white non hispanic,violet,50
2019,female,white non hispanic,noa,50
2018,male,black non hispanic,hunter,50
2011,male,asian and pacific islander,jonathan,50
2017,male,black non hispanic,cameron,50
2017,male,black non hispanic,kayden,50
2014,male,asian and pacific islander,dylan,50
2016,male,black non hispanic,kayden,50
2012,male,black non hispanic,andrew,50
2012,male,black non hispanic,brandon,50
2012,male,black non hispanic,carter,50
2012,male,black non hispanic,jaden,50
2012,male,black non hispanic,jonathan,50
2012,male,black non hispanic,kayden,50
2015,male,black non hispanic,nathan,50
2019,male,hispanic,diego,50
2016,female,black non hispanic,olivia,49
2014,female,asian and pacific islander,claire,49
2017,female,asian and pacific islander,ella,49
2012,female,white non hispanic,fiona,49
2012,female,white non hispanic,mia,49
2013,female,asian and pacific islander,zoe,49
2018,female,asian and pacific islander,ava,49
2016,female,asian and pacific islander,joanna,49
2012,female,black non hispanic,khloe,49
2019,female,hispanic,kaylee,49
2017,female,hispanic,riley,49
2016,female,hispanic,juliette,49
2016,female,hispanic,sarah,49
2013,female,hispanic,gabriela,49
2013,female,hispanic,kiara,49
2013,female,hispanic,leslie,49
2013,female,hispanic,maria,49
2013,female,hispanic,penelope,49
2012,female,hispanic,andrea,49
2011,female,hispanic,gianna,49
2011,female,hispanic,maya,49
2015,female,hispanic,zoey,49
2013,female,white non hispanic,catherine,49
2016,female,white non hispanic,rose,49
2017,female,white non hispanic,gabriella,49
2017,female,white non hispanic,layla,49
2017,female,white non hispanic,vivian,49
2015,female,white non hispanic,vivian,49
2014,female,white non hispanic,eliana,49
2014,female,white non hispanic,naomi,49
2014,female,white non hispanic,talia,49
2014,female,white non hispanic,violet,49
2018,female,white non hispanic,rose,49
2019,female,white non hispanic,harper,49
2018,male,black non hispanic,ryan,49
2015,male,asian and pacific islander,dylan,49
2011,male,asian and pacific islander,jacob,49
2013,male,asian and pacific islander,brian,49
2014,male,asian and pacific islander,nathan,49
2016,male,asian and pacific islander,ian,49
2012,male,black non hispanic,prince,49
2014,male,black non hispanic,alexander,49
2014,male,black non hispanic,messiah,49
2015,male,black non hispanic,kaiden,49
2013,male,black non hispanic,ayden,49
2013,male,black non hispanic,cameron,49
2019,male,hispanic,andrew,49
2017,female,black non hispanic,aaliyah,48
2019,female,asian and pacific islander,grace,48
2011,female,asian and pacific islander,fiona,48
2016,female,black non hispanic,abigail,48
2016,female,black non hispanic,fatoumata,48
2012,female,white non hispanic,michelle,48
2013,female,black non hispanic,abigail,48
2013,female,black non hispanic,arianna,48
2013,female,black non hispanic,nevaeh,48
2015,female,asian and pacific islander,amelia,48
2012,female,black non hispanic,ava,48
2019,female,hispanic,grace,48
2018,female,hispanic,emilia,48
2014,female,hispanic,nicole,48
2016,female,hispanic,charlotte,48
2016,female,hispanic,jade,48
2016,female,hispanic,mila,48
2013,female,hispanic,michelle,48
2012,female,hispanic,alyssa,48
2012,female,hispanic,gianna,48
2012,female,hispanic,stephanie,48
2012,female,hispanic,yaretzi,48
2011,female,white non hispanic,shaindy,48
2015,female,hispanic,andrea,48
2015,female,hispanic,jade,48
2015,female,hispanic,katherine,48
2012,female,asian and pacific islander,angelina,48
2012,female,asian and pacific islander,caroline,48
2012,female,asian and pacific islander,gianna,48
2012,female,asian and pacific islander,nicole,48
2013,female,white non hispanic,harper,48
2013,female,white non hispanic,scarlett,48
2016,female,white non hispanic,caroline,48
2016,female,white non hispanic,claire,48
2016,female,white non hispanic,madeline,48
2017,female,white non hispanic,hindy,48
2017,female,white non hispanic,rebecca,48
2017,female,white non hispanic,sadie,48
2015,female,white non hispanic,emilia,48
2015,female,white non hispanic,josephine,48
2014,female,white non hispanic,ruby,48
2019,female,white non hispanic,naomi,48
2019,female,white non hispanic,valentina,48
2018,male,asian and pacific islander,justin,48
2017,male,asian and pacific islander,justin,48
2017,male,asian and pacific islander,leo,48
2019,male,asian and pacific islander,henry,48
2015,male,asian and pacific islander,andrew,48
2017,male,black non hispanic,anthony,48
2017,male,black non hispanic,micah,48
2013,male,asian and pacific islander,james,48
2013,male,asian and pacific islander,nathan,48
2014,male,asian and pacific islander,benjamin,48
2014,male,asian and pacific islander,jacob,48
2014,male,asian and pacific islander,leo,48
2014,male,asian and pacific islander,owen,48
2012,male,white non hispanic,jacob,48
2012,male,black non hispanic,nathan,48
2014,male,black non hispanic,nathaniel,48
2013,male,black non hispanic,anthony,48
2013,male,black non hispanic,samuel,48
2019,male,hispanic,carlos,48
2019,male,hispanic,isaiah,48
2019,male,hispanic,jose,48
2019,male,hispanic,juan,48
2019,male,hispanic,kevin,48
2019,male,hispanic,leo,48
2019,male,hispanic,steven,48
2019,female,black non hispanic,riley,47
2017,female,black non hispanic,amelia,47
2018,female,black non hispanic,zuri,47
2014,female,black non hispanic,fatoumata,47
2014,female,black non hispanic,isabella,47
2014,female,black non hispanic,mariam,47
2011,female,asian and pacific islander,angela,47
2013,female,asian and pacific islander,ashley,47
2013,female,asian and pacific islander,ava,47
2015,female,black non hispanic,leah,47
2015,female,black non hispanic,serenity,47
2018,female,asian and pacific islander,aria,47
2012,female,white non hispanic,ava,47
2012,female,white non hispanic,sarah,47
2013,female,black non hispanic,isabella,47
2012,female,black non hispanic,nyla,47
2019,female,hispanic,valerie,47
2017,female,hispanic,alaia,47
2018,female,hispanic,kimberly,47
2018,female,hispanic,samara,47
2018,female,hispanic,valerie,47
2013,female,hispanic,adriana,47
2013,female,hispanic,emely,47
2012,female,hispanic,evelyn,47
2012,female,hispanic,layla,47
2011,female,hispanic,alexandra,47
2011,female,hispanic,eva,47
2011,female,white non hispanic,lillian,47
2011,female,white non hispanic,lucy,47
2015,female,hispanic,luna,47
2015,female,hispanic,mila,47
2012,female,asian and pacific islander,violet,47
2013,female,white non hispanic,sienna,47
2016,female,white non hispanic,maria,47
2016,female,white non hispanic,shaindy,47
2016,female,white non hispanic,talia,47
2017,female,white non hispanic,dina,47
2017,female,white non hispanic,naomi,47
2015,female,white non hispanic,molly,47
2018,female,white non hispanic,sury,47
2014,female,white non hispanic,devorah,47
2019,female,white non hispanic,devorah,47
2019,female,white non hispanic,hindy,47
2019,female,white non hispanic,margot,47
2018,male,asian and pacific islander,adam,47
2018,male,asian and pacific islander,mason,47
2018,male,black non hispanic,mohamed,47
2018,male,asian and pacific islander,nathan,47
2019,male,black non hispanic,bryson,47
2019,male,black non hispanic,ryan,47
2017,male,asian and pacific islander,aaron,47
2017,male,asian and pacific islander,ivan,47
2019,male,asian and pacific islander,mohammad,47
2011,male,asian and pacific islander,alexander,47
2015,male,asian and pacific islander,benjamin,47
2015,male,asian and pacific islander,justin,47
2017,male,black non hispanic,kaiden,47
2013,male,asian and pacific islander,leo,47
2013,male,asian and pacific islander,vincent,47
2016,male,black non hispanic,ayden,47
2016,male,black non hispanic,kaiden,47
2016,male,black non hispanic,messiah,47
2015,male,black non hispanic,jace,47
2015,male,black non hispanic,nathaniel,47
2012,male,black non hispanic,mohamed,47
2011,male,black non hispanic,cameron,47
2017,female,black non hispanic,isabella,46
2017,female,black non hispanic,olivia,46
2014,female,black non hispanic,serenity,46
2016,female,black non hispanic,peyton,46
2017,female,asian and pacific islander,ava,46
2017,female,asian and pacific islander,isabella,46
2011,female,black non hispanic,faith,46
2013,female,asian and pacific islander,hannah,46
2015,female,asian and pacific islander,ava,46
2012,female,white non hispanic,hannah,46
2012,female,black non hispanic,fatoumata,46
2017,female,hispanic,grace,46
2018,female,hispanic,jade,46
2018,female,hispanic,valeria,46
2014,female,hispanic,andrea,46
2014,female,hispanic,mila,46
2016,female,hispanic,katherine,46
2016,female,hispanic,kylie,46
2013,female,hispanic,savannah,46
2012,female,hispanic,bella,46
2011,female,hispanic,jessica,46
2011,female,hispanic,jocelyn,46
2011,female,hispanic,natalie,46
2011,female,white non hispanic,chava,46
2011,female,white non hispanic,naomi,46
2015,female,hispanic,maya,46
2012,female,asian and pacific islander,natalie,46
2013,female,white non hispanic,eleanor,46
2013,female,white non hispanic,lillian,46
2013,female,white non hispanic,vivian,46
2016,female,white non hispanic,devorah,46
2016,female,white non hispanic,nora,46
2016,female,white non hispanic,ruby,46
2017,female,white non hispanic,sienna,46
2017,female,white non hispanic,toby,46
2015,female,white non hispanic,lucy,46
2015,female,white non hispanic,riley,46
2018,female,white non hispanic,juliette,46
2014,female,white non hispanic,angelina,46
2014,female,white non hispanic,toby,46
2018,male,black non hispanic,daniel,46
2018,male,asian and pacific islander,jacob,46
2019,male,black non hispanic,mohamed,46
2017,male,asian and pacific islander,henry,46
2019,male,asian and pacific islander,austin,46
2019,male,asian and pacific islander,kyle,46
2011,male,asian and pacific islander,anthony,46
2011,male,asian and pacific islander,mohammad,46
2015,male,asian and pacific islander,henry,46
2015,male,asian and pacific islander,jacob,46
2015,male,asian and pacific islander,kevin,46
2017,male,black non hispanic,bryson,46
2014,male,asian and pacific islander,vincent,46
2016,male,asian and pacific islander,dylan,46
2012,male,white non hispanic,benjamin,46
2014,male,black non hispanic,david,46
2014,male,black non hispanic,jonathan,46
2014,male,black non hispanic,malachi,46
2014,male,black non hispanic,ryan,46
2015,male,black non hispanic,alexander,46
2015,male,black non hispanic,mohamed,46
2013,male,black non hispanic,dylan,46
2013,male,black non hispanic,jordan,46
2011,male,black non hispanic,emmanuel,46
2018,female,black non hispanic,riley,45
2014,female,black non hispanic,ariel,45
2014,female,black non hispanic,taylor,45
2016,female,black non hispanic,zoe,45
2013,female,black non hispanic,ariel,45
2013,female,black non hispanic,faith,45
2013,female,black non hispanic,makayla,45
2013,female,black non hispanic,zoe,45
2012,female,white non hispanic,ashley,45
2019,female,hispanic,alexa,45
2019,female,hispanic,emilia,45
2019,female,hispanic,gabriella,45
2017,female,hispanic,aaliyah,45
2017,female,hispanic,amaya,45
2017,female,hispanic,layla,45
2018,female,hispanic,aria,45
2018,female,hispanic,layla,45
2018,female,hispanic,zoey,45
2014,female,hispanic,aubrey,45
2014,female,hispanic,aylin,45
2014,female,hispanic,gabriela,45
2014,female,hispanic,maya,45
2014,female,hispanic,natalia,45
2016,female,hispanic,bella,45
2013,female,hispanic,serenity,45
2012,female,hispanic,chelsea,45
2011,female,hispanic,valeria,45
2011,female,white non hispanic,kayla,45
2011,female,white non hispanic,nicole,45
2015,female,hispanic,isabel,45
2012,female,asian and pacific islander,baila,45
2012,female,asian and pacific islander,claire,45
2012,female,asian and pacific islander,eleanor,45
2012,female,asian and pacific islander,molly,45
2012,female,asian and pacific islander,rebecca,45
2013,female,white non hispanic,katherine,45
2013,female,white non hispanic,nicole,45
2013,female,white non hispanic,rose,45
2016,female,white non hispanic,chany,45
2016,female,white non hispanic,lila,45
2017,female,white non hispanic,madeline,45
2015,female,white non hispanic,clara,45
2015,female,white non hispanic,gianna,45
2018,female,white non hispanic,hindy,45
2018,female,white non hispanic,lila,45
2018,female,white non hispanic,valentina,45
2019,female,white non hispanic,chany,45
2019,female,white non hispanic,clara,45
2019,female,white non hispanic,lillian,45
2019,female,white non hispanic,sadie,45
