==Frequent itemsets (min_sup=0.1%)==
('hispanic', 'male')	 supp: 17.35%
('2011', 'asian and pacific islander', 'male')	 supp: 1.01%
('dylan', 'male')	 supp: 1.01%
('joseph', 'male')	 supp: 1.0%
('2013', 'asian and pacific islander', 'female')	 supp: 1.0%
('lucas', 'male')	 supp: 0.99%
('2016', 'black non hispanic', 'female')	 supp: 0.99%
('2015', 'black non hispanic', 'male')	 supp: 0.98%
('male', 'ryan')	 supp: 0.97%
('2017', 'asian and pacific islander', 'female')	 supp: 0.96%
('2017', 'black non hispanic', 'female')	 supp: 0.9%
('male', 'mason')	 supp: 0.89%
('2011', 'asian and pacific islander', 'female')	 supp: 0.85%
('2018', 'asian and pacific islander', 'female')	 supp: 0.85%
('2018', 'black non hispanic', 'female')	 supp: 0.84%
('emily', 'female')	 supp: 0.84%
('2019', 'asian and pacific islander', 'female')	 supp: 0.84%
('female', 'leah')	 supp: 0.83%
('2019', 'black non hispanic', 'female')	 supp: 0.81%
('ava', 'female')	 supp: 0.81%
('james', 'male')	 supp: 0.8%
('joshua', 'male')	 supp: 0.74%
('anthony', 'male')	 supp: 0.74%
('male', 'sebastian')	 supp: 0.73%
('chloe', 'female')	 supp: 0.73%
('benjamin', 'male')	 supp: 0.72%
('female', 'sarah')	 supp: 0.7%
('male', 'samuel')	 supp: 0.69%
('female', 'sofia')	 supp: 0.69%
('hispanic', 'liam')	 supp: 0.68%
('hispanic', 'liam', 'male')	 supp: 0.68%
('female', 'madison')	 supp: 0.67%
('male', 'william')	 supp: 0.67%
('aaron', 'male')	 supp: 0.67%
('hispanic', 'isabella')	 supp: 0.66%
('female', 'hispanic', 'isabella')	 supp: 0.66%
('hispanic', 'jacob')	 supp: 0.64%
('hispanic', 'jacob', 'male')	 supp: 0.64%
('hispanic', 'jayden')	 supp: 0.63%
('hispanic', 'jayden', 'male')	 supp: 0.63%
('gabriel', 'male')	 supp: 0.63%
('abigail', 'female')	 supp: 0.63%
('christopher', 'male')	 supp: 0.63%
('male', 'nicholas')	 supp: 0.63%
('hispanic', 'matthew')	 supp: 0.61%
('hispanic', 'male', 'matthew')	 supp: 0.61%
('isaac', 'male')	 supp: 0.58%
('dylan', 'hispanic')	 supp: 0.57%
('dylan', 'hispanic', 'male')	 supp: 0.57%
('female', 'victoria')	 supp: 0.57%
('justin', 'male')	 supp: 0.57%
('andrew', 'male')	 supp: 0.56%
('david', 'white non hispanic')	 supp: 0.56%
('david', 'male', 'white non hispanic')	 supp: 0.56%
('joseph', 'white non hispanic')	 supp: 0.55%
('joseph', 'male', 'white non hispanic')	 supp: 0.55%
('ethan', 'hispanic')	 supp: 0.55%
('ethan', 'hispanic', 'male')	 supp: 0.55%
('hispanic', 'noah')	 supp: 0.54%
('logan', 'male')	 supp: 0.54%
('hispanic', 'male', 'noah')	 supp: 0.54%
('male', 'moshe')	 supp: 0.54%
('hispanic', 'sophia')	 supp: 0.54%
('female', 'hispanic', 'sophia')	 supp: 0.54%
('female', 'zoe')	 supp: 0.54%
('male', 'nathan')	 supp: 0.52%
('john', 'male')	 supp: 0.52%
('esther', 'female')	 supp: 0.52%
('jonathan', 'male')	 supp: 0.52%
('charlotte', 'female')	 supp: 0.51%
('hispanic', 'mia')	 supp: 0.51%
('female', 'hispanic', 'mia')	 supp: 0.51%
('hispanic', 'sebastian')	 supp: 0.51%
('hispanic', 'male', 'sebastian')	 supp: 0.51%
('michael', 'white non hispanic')	 supp: 0.5%
('male', 'michael', 'white non hispanic')	 supp: 0.5%
('jacob', 'white non hispanic')	 supp: 0.49%
('jacob', 'male', 'white non hispanic')	 supp: 0.49%
('amelia', 'female')	 supp: 0.49%
('elijah', 'male')	 supp: 0.49%
('moshe', 'white non hispanic')	 supp: 0.48%
('male', 'moshe', 'white non hispanic')	 supp: 0.48%
('henry', 'male')	 supp: 0.48%
('olivia', 'white non hispanic')	 supp: 0.48%
('female', 'olivia', 'white non hispanic')	 supp: 0.48%
('female', 'rachel')	 supp: 0.47%
('jack', 'male')	 supp: 0.47%
('adam', 'male')	 supp: 0.46%
('elizabeth', 'female')	 supp: 0.46%
('julian', 'male')	 supp: 0.46%
('male', 'oliver')	 supp: 0.46%
('female', 'maya')	 supp: 0.46%
('jeremiah', 'male')	 supp: 0.45%
('esther', 'white non hispanic')	 supp: 0.45%
('esther', 'female', 'white non hispanic')	 supp: 0.45%
('benjamin', 'white non hispanic')	 supp: 0.44%
('benjamin', 'male', 'white non hispanic')	 supp: 0.44%
('emma', 'white non hispanic')	 supp: 0.43%
('emma', 'female', 'white non hispanic')	 supp: 0.43%
('christian', 'male')	 supp: 0.43%
('kevin', 'male')	 supp: 0.43%
('daniel', 'white non hispanic')	 supp: 0.43%
('daniel', 'male', 'white non hispanic')	 supp: 0.43%
('daniel', 'hispanic')	 supp: 0.42%
('daniel', 'hispanic', 'male')	 supp: 0.42%
('angel', 'male')	 supp: 0.42%
('angel', 'hispanic')	 supp: 0.42%
('james', 'white non hispanic')	 supp: 0.42%
('angel', 'hispanic', 'male')	 supp: 0.42%
('james', 'male', 'white non hispanic')	 supp: 0.42%
('female', 'grace')	 supp: 0.42%
('alexander', 'white non hispanic')	 supp: 0.41%
('alexander', 'male', 'white non hispanic')	 supp: 0.41%
('chaya', 'female')	 supp: 0.41%
('leah', 'white non hispanic')	 supp: 0.41%
('female', 'leah', 'white non hispanic')	 supp: 0.41%
('emma', 'hispanic')	 supp: 0.41%
('emma', 'female', 'hispanic')	 supp: 0.41%
('leo', 'male')	 supp: 0.4%
('alexander', 'hispanic')	 supp: 0.4%
('alexander', 'hispanic', 'male')	 supp: 0.4%
('ella', 'female')	 supp: 0.4%
('aiden', 'hispanic')	 supp: 0.4%
('hispanic', 'lucas')	 supp: 0.4%
('aiden', 'hispanic', 'male')	 supp: 0.4%
('hispanic', 'lucas', 'male')	 supp: 0.4%
('camila', 'female')	 supp: 0.39%
('camila', 'hispanic')	 supp: 0.39%
('camila', 'female', 'hispanic')	 supp: 0.39%
('sarah', 'white non hispanic')	 supp: 0.39%
('female', 'sarah', 'white non hispanic')	 supp: 0.39%
('jack', 'white non hispanic')	 supp: 0.39%
('jack', 'male', 'white non hispanic')	 supp: 0.39%
('ashley', 'female')	 supp: 0.38%
('rachel', 'white non hispanic')	 supp: 0.38%
('female', 'rachel', 'white non hispanic')	 supp: 0.38%
('adrian', 'male')	 supp: 0.38%
('female', 'gabriella')	 supp: 0.37%
('hispanic', 'mason')	 supp: 0.37%
('hispanic', 'male', 'mason')	 supp: 0.37%
('hispanic', 'sofia')	 supp: 0.37%
('female', 'hispanic', 'sofia')	 supp: 0.37%
('chaya', 'white non hispanic')	 supp: 0.37%
('chaya', 'female', 'white non hispanic')	 supp: 0.37%
('brandon', 'male')	 supp: 0.37%
('asian and pacific islander', 'ethan')	 supp: 0.37%
('asian and pacific islander', 'ethan', 'male')	 supp: 0.37%
('white non hispanic', 'william')	 supp: 0.36%
('male', 'white non hispanic', 'william')	 supp: 0.36%
('samuel', 'white non hispanic')	 supp: 0.36%
('male', 'samuel', 'white non hispanic')	 supp: 0.36%
('henry', 'white non hispanic')	 supp: 0.36%
('henry', 'male', 'white non hispanic')	 supp: 0.36%
('sophia', 'white non hispanic')	 supp: 0.35%
('female', 'sophia', 'white non hispanic')	 supp: 0.35%
('female', 'miriam')	 supp: 0.35%
('female', 'samantha')	 supp: 0.34%
('female', 'hannah')	 supp: 0.34%
('christopher', 'hispanic')	 supp: 0.34%
('christopher', 'hispanic', 'male')	 supp: 0.34%
('david', 'hispanic')	 supp: 0.34%
('david', 'hispanic', 'male')	 supp: 0.34%
('josiah', 'male')	 supp: 0.34%
('charles', 'male')	 supp: 0.34%
('female', 'sara')	 supp: 0.34%
('asian and pacific islander', 'ryan')	 supp: 0.34%
('asian and pacific islander', 'male', 'ryan')	 supp: 0.34%
('jason', 'male')	 supp: 0.33%
('anthony', 'hispanic')	 supp: 0.33%
('abraham', 'male')	 supp: 0.33%
('anthony', 'hispanic', 'male')	 supp: 0.33%
('chaim', 'male')	 supp: 0.33%
('hispanic', 'michael')	 supp: 0.33%
('hispanic', 'male', 'michael')	 supp: 0.33%
('adam', 'white non hispanic')	 supp: 0.32%
('adam', 'male', 'white non hispanic')	 supp: 0.32%
('chana', 'female')	 supp: 0.32%
('ian', 'male')	 supp: 0.32%
('charlotte', 'white non hispanic')	 supp: 0.32%
('charlotte', 'female', 'white non hispanic')	 supp: 0.32%
('john', 'white non hispanic')	 supp: 0.32%
('john', 'male', 'white non hispanic')	 supp: 0.32%
('miriam', 'white non hispanic')	 supp: 0.32%
('female', 'miriam', 'white non hispanic')	 supp: 0.32%
('noah', 'white non hispanic')	 supp: 0.31%
('male', 'noah', 'white non hispanic')	 supp: 0.31%
('emily', 'hispanic')	 supp: 0.31%
('male', 'muhammad')	 supp: 0.31%
('emily', 'female', 'hispanic')	 supp: 0.31%
('hispanic', 'joshua')	 supp: 0.31%
('hispanic', 'joshua', 'male')	 supp: 0.31%
('asian and pacific islander', 'olivia')	 supp: 0.31%
('asian and pacific islander', 'female', 'olivia')	 supp: 0.31%
('asian and pacific islander', 'jayden')	 supp: 0.31%
('asian and pacific islander', 'jayden', 'male')	 supp: 0.31%
('female', 'hailey')	 supp: 0.31%
('ayden', 'male')	 supp: 0.31%
('hispanic', 'justin')	 supp: 0.31%
('hispanic', 'justin', 'male')	 supp: 0.31%
('male', 'theodore')	 supp: 0.31%
('adrian', 'hispanic')	 supp: 0.3%
('adrian', 'hispanic', 'male')	 supp: 0.3%
('female', 'valentina')	 supp: 0.3%
('black non hispanic', 'noah')	 supp: 0.3%
('black non hispanic', 'male', 'noah')	 supp: 0.3%
('abraham', 'white non hispanic')	 supp: 0.3%
('abraham', 'male', 'white non hispanic')	 supp: 0.3%
('ava', 'white non hispanic')	 supp: 0.3%
('ava', 'female', 'white non hispanic')	 supp: 0.3%
('ethan', 'white non hispanic')	 supp: 0.3%
('ethan', 'male', 'white non hispanic')	 supp: 0.3%
('eva', 'female')	 supp: 0.29%
('asian and pacific islander', 'lucas')	 supp: 0.29%
('asian and pacific islander', 'lucas', 'male')	 supp: 0.29%
('aaron', 'hispanic')	 supp: 0.29%
('aaron', 'hispanic', 'male')	 supp: 0.29%
('chaim', 'white non hispanic')	 supp: 0.29%
('chaim', 'male', 'white non hispanic')	 supp: 0.29%
('ryan', 'white non hispanic')	 supp: 0.29%
('male', 'ryan', 'white non hispanic')	 supp: 0.29%
('matthew', 'white non hispanic')	 supp: 0.29%
('male', 'matthew', 'white non hispanic')	 supp: 0.29%
('evelyn', 'female')	 supp: 0.29%
('female', 'scarlett')	 supp: 0.28%
('chana', 'white non hispanic')	 supp: 0.28%
('liam', 'white non hispanic')	 supp: 0.28%
('jeremy', 'male')	 supp: 0.28%
('chana', 'female', 'white non hispanic')	 supp: 0.28%
('liam', 'male', 'white non hispanic')	 supp: 0.28%
('aiden', 'black non hispanic')	 supp: 0.28%
('aiden', 'black non hispanic', 'male')	 supp: 0.28%
('male', 'max')	 supp: 0.28%
('nicholas', 'white non hispanic')	 supp: 0.28%
('male', 'nicholas', 'white non hispanic')	 supp: 0.28%
('ashley', 'hispanic')	 supp: 0.28%
('ashley', 'female', 'hispanic')	 supp: 0.28%
('female', 'layla')	 supp: 0.28%
('female', 'penelope')	 supp: 0.28%
('gabriel', 'hispanic')	 supp: 0.27%
('gabriel', 'hispanic', 'male')	 supp: 0.27%
('male', 'thomas')	 supp: 0.27%
('asian and pacific islander', 'muhammad')	 supp: 0.27%
('asian and pacific islander', 'male', 'muhammad')	 supp: 0.27%
('mia', 'white non hispanic')	 supp: 0.27%
('female', 'mia', 'white non hispanic')	 supp: 0.27%
('oliver', 'white non hispanic')	 supp: 0.27%
('female', 'rivka')	 supp: 0.27%
('male', 'oliver', 'white non hispanic')	 supp: 0.27%
('male', 'zachary')	 supp: 0.27%
('lucas', 'white non hispanic')	 supp: 0.27%
('lucas', 'male', 'white non hispanic')	 supp: 0.27%
('ariana', 'female')	 supp: 0.27%
('aiden', 'asian and pacific islander')	 supp: 0.27%
('aiden', 'asian and pacific islander', 'male')	 supp: 0.27%
('eli', 'male')	 supp: 0.27%
('leo', 'white non hispanic')	 supp: 0.27%
('hispanic', 'joseph')	 supp: 0.27%
('leo', 'male', 'white non hispanic')	 supp: 0.27%
('hispanic', 'joseph', 'male')	 supp: 0.27%
('emily', 'white non hispanic')	 supp: 0.27%
('emily', 'female', 'white non hispanic')	 supp: 0.27%
('charles', 'white non hispanic')	 supp: 0.27%
('charles', 'male', 'white non hispanic')	 supp: 0.27%
('anna', 'female')	 supp: 0.26%
('sara', 'white non hispanic')	 supp: 0.26%
('female', 'sara', 'white non hispanic')	 supp: 0.26%
('luke', 'male')	 supp: 0.26%
('hispanic', 'victoria')	 supp: 0.26%
('alexandra', 'female')	 supp: 0.26%
('female', 'hispanic', 'victoria')	 supp: 0.26%
('female', 'kaylee')	 supp: 0.26%
('black non hispanic', 'ethan')	 supp: 0.26%
('black non hispanic', 'ethan', 'male')	 supp: 0.26%
('black non hispanic', 'madison')	 supp: 0.26%
('ella', 'white non hispanic')	 supp: 0.26%
('female', 'genesis')	 supp: 0.26%
('black non hispanic', 'female', 'madison')	 supp: 0.26%
('ella', 'female', 'white non hispanic')	 supp: 0.26%
('asian and pacific islander', 'chloe')	 supp: 0.25%
('asian and pacific islander', 'chloe', 'female')	 supp: 0.25%
('female', 'mila')	 supp: 0.25%
('male', 'xavier')	 supp: 0.25%
('aaliyah', 'female')	 supp: 0.25%
('isaac', 'white non hispanic')	 supp: 0.25%
('hispanic', 'valentina')	 supp: 0.25%
('isaac', 'male', 'white non hispanic')	 supp: 0.25%
('female', 'hispanic', 'valentina')	 supp: 0.25%
('black non hispanic', 'elijah')	 supp: 0.25%
('black non hispanic', 'elijah', 'male')	 supp: 0.25%
('asian and pacific islander', 'sophia')	 supp: 0.25%
('asian and pacific islander', 'female', 'sophia')	 supp: 0.25%
('black non hispanic', 'jayden')	 supp: 0.25%
('black non hispanic', 'jayden', 'male')	 supp: 0.25%
('black non hispanic', 'jeremiah')	 supp: 0.25%
('black non hispanic', 'jeremiah', 'male')	 supp: 0.25%
('hispanic', 'jonathan')	 supp: 0.25%
('rivka', 'white non hispanic')	 supp: 0.25%
('hispanic', 'jonathan', 'male')	 supp: 0.25%
('female', 'rivka', 'white non hispanic')	 supp: 0.25%
('isabella', 'white non hispanic')	 supp: 0.25%
('female', 'isabella', 'white non hispanic')	 supp: 0.25%
('hispanic', 'leah')	 supp: 0.24%
('female', 'hispanic', 'leah')	 supp: 0.24%
('hispanic', 'kevin')	 supp: 0.24%
('male', 'yosef')	 supp: 0.24%
('hispanic', 'kevin', 'male')	 supp: 0.24%
('female', 'lily')	 supp: 0.24%
('avery', 'female')	 supp: 0.24%
('brianna', 'female')	 supp: 0.24%
('female', 'kayla')	 supp: 0.24%
('arianna', 'female')	 supp: 0.24%
('abigail', 'hispanic')	 supp: 0.24%
('abigail', 'female', 'hispanic')	 supp: 0.24%
('theodore', 'white non hispanic')	 supp: 0.24%
('male', 'theodore', 'white non hispanic')	 supp: 0.24%
('bella', 'female')	 supp: 0.24%
('sofia', 'white non hispanic')	 supp: 0.23%
('female', 'sofia', 'white non hispanic')	 supp: 0.23%
('hispanic', 'ryan')	 supp: 0.23%
('hispanic', 'male', 'ryan')	 supp: 0.23%
('male', 'owen')	 supp: 0.23%
('female', 'julia')	 supp: 0.23%
('gabriel', 'white non hispanic')	 supp: 0.23%
('gabriel', 'male', 'white non hispanic')	 supp: 0.23%
('maya', 'white non hispanic')	 supp: 0.23%
('black non hispanic', 'liam')	 supp: 0.23%
('female', 'maya', 'white non hispanic')	 supp: 0.23%
('black non hispanic', 'liam', 'male')	 supp: 0.23%
('asian and pacific islander', 'emma')	 supp: 0.23%
('asian and pacific islander', 'emma', 'female')	 supp: 0.23%
('hispanic', 'jose')	 supp: 0.23%
('jose', 'male')	 supp: 0.23%
('isaiah', 'male')	 supp: 0.23%
('hispanic', 'jose', 'male')	 supp: 0.23%
('dylan', 'white non hispanic')	 supp: 0.23%
('female', 'riley')	 supp: 0.23%
('dylan', 'male', 'white non hispanic')	 supp: 0.23%
('male', 'tyler')	 supp: 0.23%
('thomas', 'white non hispanic')	 supp: 0.23%
('male', 'thomas', 'white non hispanic')	 supp: 0.23%
('female', 'melanie')	 supp: 0.22%
('brandon', 'hispanic')	 supp: 0.22%
('brandon', 'hispanic', 'male')	 supp: 0.22%
('female', 'sophie')	 supp: 0.22%
('male', 'shimon')	 supp: 0.22%
('hispanic', 'madison')	 supp: 0.22%
('female', 'hispanic', 'madison')	 supp: 0.22%
('anthony', 'white non hispanic')	 supp: 0.22%
('hispanic', 'ian')	 supp: 0.22%
('anthony', 'male', 'white non hispanic')	 supp: 0.22%
('hispanic', 'ian', 'male')	 supp: 0.22%
('hispanic', 'isaac')	 supp: 0.22%
('hispanic', 'isaac', 'male')	 supp: 0.22%
('black non hispanic', 'joshua')	 supp: 0.22%
('black non hispanic', 'joshua', 'male')	 supp: 0.22%
('elijah', 'hispanic')	 supp: 0.22%
('elijah', 'hispanic', 'male')	 supp: 0.22%
('allison', 'female')	 supp: 0.22%
('black non hispanic', 'josiah')	 supp: 0.22%
('black non hispanic', 'josiah', 'male')	 supp: 0.22%
('hispanic', 'jeremy')	 supp: 0.22%
('hispanic', 'jeremy', 'male')	 supp: 0.22%
('jackson', 'male')	 supp: 0.22%
('white non hispanic', 'yosef')	 supp: 0.22%
('male', 'white non hispanic', 'yosef')	 supp: 0.22%
('evan', 'male')	 supp: 0.22%
('christian', 'hispanic')	 supp: 0.21%
('hispanic', 'luis')	 supp: 0.21%
('luis', 'male')	 supp: 0.21%
('christian', 'hispanic', 'male')	 supp: 0.21%
('hispanic', 'luis', 'male')	 supp: 0.21%
('hispanic', 'julian')	 supp: 0.21%
('hispanic', 'julian', 'male')	 supp: 0.21%
('genesis', 'hispanic')	 supp: 0.21%
('female', 'genesis', 'hispanic')	 supp: 0.21%
('asian and pacific islander', 'daniel')	 supp: 0.21%
('asian and pacific islander', 'daniel', 'male')	 supp: 0.21%
('black non hispanic', 'mason')	 supp: 0.21%
('black non hispanic', 'male', 'mason')	 supp: 0.21%
('luca', 'male')	 supp: 0.21%
('alice', 'female')	 supp: 0.21%
('abigail', 'white non hispanic')	 supp: 0.21%
('abigail', 'female', 'white non hispanic')	 supp: 0.21%
('chloe', 'white non hispanic')	 supp: 0.21%
('chloe', 'female', 'white non hispanic')	 supp: 0.21%
('hispanic', 'olivia')	 supp: 0.21%
('female', 'hispanic', 'olivia')	 supp: 0.21%
('male', 'mordechai')	 supp: 0.21%
('elias', 'male')	 supp: 0.21%
('max', 'white non hispanic')	 supp: 0.21%
('aria', 'female')	 supp: 0.21%
('male', 'max', 'white non hispanic')	 supp: 0.21%
('male', 'menachem')	 supp: 0.21%
('hispanic', 'samantha')	 supp: 0.21%
('female', 'hispanic', 'samantha')	 supp: 0.21%
('hispanic', 'jeremiah')	 supp: 0.21%
('hispanic', 'jeremiah', 'male')	 supp: 0.21%
('amy', 'female')	 supp: 0.2%
('amir', 'male')	 supp: 0.2%
('amir', 'black non hispanic')	 supp: 0.2%
('amir', 'black non hispanic', 'male')	 supp: 0.2%
('elizabeth', 'white non hispanic')	 supp: 0.2%
('elizabeth', 'female', 'white non hispanic')	 supp: 0.2%
('hispanic', 'logan')	 supp: 0.2%
('alexa', 'female')	 supp: 0.2%
('hispanic', 'logan', 'male')	 supp: 0.2%
('female', 'stella')	 supp: 0.2%
('eli', 'white non hispanic')	 supp: 0.2%
('eli', 'male', 'white non hispanic')	 supp: 0.2%
('asian and pacific islander', 'emily')	 supp: 0.2%
('shimon', 'white non hispanic')	 supp: 0.2%
('asian and pacific islander', 'emily', 'female')	 supp: 0.2%
('male', 'shimon', 'white non hispanic')	 supp: 0.2%
('male', 'mateo')	 supp: 0.2%
('hispanic', 'mateo')	 supp: 0.2%
('hispanic', 'male', 'mateo')	 supp: 0.2%
('2011', 'jayden')	 supp: 0.2%
('female', 'nicole')	 supp: 0.2%
('2011', 'jayden', 'male')	 supp: 0.2%
('ava', 'hispanic')	 supp: 0.19%
('ava', 'female', 'hispanic')	 supp: 0.19%
('female', 'gianna')	 supp: 0.19%
('hailey', 'hispanic')	 supp: 0.19%
('female', 'zoey')	 supp: 0.19%
('female', 'hailey', 'hispanic')	 supp: 0.19%
('andrew', 'white non hispanic')	 supp: 0.19%
('andrew', 'male', 'white non hispanic')	 supp: 0.19%
('2018', 'liam')	 supp: 0.19%
('2018', 'liam', 'male')	 supp: 0.19%
('hispanic', 'melanie')	 supp: 0.19%
('female', 'hispanic', 'melanie')	 supp: 0.19%
('luke', 'white non hispanic')	 supp: 0.19%
('luke', 'male', 'white non hispanic')	 supp: 0.19%
('elias', 'hispanic')	 supp: 0.19%
('ava', 'black non hispanic')	 supp: 0.19%
('elias', 'hispanic', 'male')	 supp: 0.19%
